old,weird,new,lng,lat
S316,316,315,-73.990454,40.620687
S317,317,316,-74.030876,40.61662167
S318,318,317,-74.028398,40.62268667
S319,319,318,-74.00058287,40.61315893
S320,320,319,-73.99884095,40.61925871
S321,321,320,-73.99817432,40.604677
S322,322,321,-74.00159259,40.60773573
S323,323,322,-73.99685725,40.62622446
S324,324,323,-73.996353,40.62484167
S325,325,324,-73.97337642,40.59592483
S326,326,325,-73.97235531,40.60325841
S327,327,326,-73.96135379,40.5777102
S328,328,327,-73.95405791,40.58654755
S329,329,328,-73.95581122,40.59930895
S330,330,329,-73.95760874,40.60863865
S331,331,330,-73.979084,40.597236
S332,332,331,-73.980373,40.604059
S333,333,332,-73.97459273,40.58073876
S334,334,333,-73.974266,40.58944967
S335,335,334,-73.983765,40.58884067
S336,336,335,-73.978189,40.592465
S337,337,336,-73.97300282,40.60884281
S338,338,337,-73.97404851,40.61435671
S339,339,338,-73.97525698,40.62073162
S340,340,339,-73.95924311,40.61739774
S341,341,340,-73.98178001,40.61145579
S342,342,341,-73.97606933,40.62501744
S343,343,342,-73.96069316,40.62502282
S344,344,343,-73.96151794,40.62920838
S345,345,344,-73.95507827,40.59532169
S346,346,345,-73.94193761,40.75373927
S347,347,346,-73.985984,40.762456
S348,348,347,-73.98169782,40.76297015
S349,349,348,-73.981331,40.758641
S350,350,349,-73.977368,40.764085
S351,351,350,-73.96608964,40.76461809
S352,352,351,-73.953235,40.759172
S353,353,352,-73.98164872,40.76824953
S354,354,353,-73.98420957,40.75980197
S355,355,354,-73.98072973,40.76456553
S356,356,355,-73.973347,40.764811
S357,357,356,-73.96737502,40.76270886
S358,358,357,-73.991057,40.750373
S359,359,358,-73.987495,40.75529
S360,360,359,-74.00762309,40.71016217
S361,361,360,-74.00858474,40.714111
S362,362,361,-73.989735,40.757308
S363,363,362,-73.949067,40.694619
S364,364,363,-73.950234,40.70037667
S365,365,364,-73.992765,40.74295432
S366,366,365,-73.98777189,40.7497894
S367,367,366,-73.98503624,40.68840848
S368,368,367,-73.98721815,40.69247064
S369,369,368,-73.990177,40.713855
S370,370,369,-73.98807807,40.71868074
S371,371,370,-73.989938,40.72340167
S372,372,371,-73.94137735,40.7004044
S373,373,372,-73.935623,40.697195
S374,374,373,-73.989779,40.67027167
S375,375,374,-73.99589173,40.67364106
S376,376,375,-73.9907565,40.68611055
S377,377,376,-73.98605668,40.6922554
S378,378,377,-73.99181831,40.69419648
S379,379,378,-73.99053886,40.73587227
S380,380,379,-73.989344,40.74130267
S381,381,380,-73.992872,40.66541367
S382,382,381,-73.988302,40.67084667
S383,383,382,-73.98575,40.732691
S384,384,383,-73.99066977,40.73476331
S385,385,384,-73.896548,40.674542
S386,386,385,-73.905316,40.67833367
S387,387,386,-74.017881,40.64136167
S388,388,387,-74.010006,40.64893867
S389,389,388,-74.003549,40.65514367
S390,390,389,-73.99444874,40.64648408
S391,391,390,-74.014034,40.64506867
S392,392,391,-73.99420224,40.64091271
S393,393,392,-73.998091,40.66039667
S394,394,393,-73.99494698,40.68027335
S395,395,394,-74.003739,40.726227
S396,396,395,-73.937969,40.851695
S397,397,396,-73.93418,40.859022
S398,398,397,-73.95479778,40.80505813
S399,399,398,-73.952248,40.81107167
S400,400,399,-73.997702,40.72432867
S401,401,400,-73.992508,40.730465
S402,402,401,-74.006571,40.709416
S403,403,402,-74.008811,40.713051
S404,404,403,-74.009266,40.715478
S405,405,404,-73.9850638,40.69054419
S406,406,405,-73.989998,40.693219
S407,407,406,-73.903879,40.858407
S408,408,407,-73.901034,40.862803
S409,409,408,-74.00974462,40.71256393
S410,410,409,-74.005229,40.720824
S411,411,410,-73.941514,40.830518
S412,412,411,-73.939892,40.836013
S413,413,412,-74.007938,40.71002267
S414,414,413,-74.00340673,40.71323379
S415,415,414,-73.99982639,40.71817388
S416,416,415,-74.00698582,40.71327233
S417,417,416,-74.001826,40.719465
S418,418,417,-74.01316896,40.70173051
S419,419,418,-74.014008,40.704914
S420,420,419,-74.011862,40.707557
S421,421,420,-74.01300724,40.70314237
S422,422,421,-74.01297456,40.70774476
S423,423,422,-73.895898,40.706226
S424,424,423,-73.88957723,40.71143131
S425,425,424,-74.013783,40.707513
S426,426,425,-74.012188,40.711835
S427,427,426,-74.009509,40.710368
S428,428,427,-74.011056,40.706476
S429,429,428,-74.01113196,40.71051298
S430,430,429,-74.0091,40.706821
S431,431,430,-73.927271,40.865491
S432,432,431,-73.993753,40.718267
S433,433,432,-73.996204,40.725297
S434,434,433,-73.99380691,40.72024688
S435,435,434,-74.00105471,40.71881426
S436,436,435,-73.998041,40.745906
S437,437,436,-73.993391,40.752287
S438,438,437,-73.89129867,40.74653969
S439,439,438,-74.000201,40.737826
S440,440,439,-73.94753481,40.81790556
S441,441,440,-73.996209,40.738228
S442,442,441,-73.99775079,40.73774147
S443,443,442,-74.002578,40.73977667
S444,444,443,-74.00169,40.740893
S445,445,444,-73.95042625,40.66993815
S446,446,445,-73.993086,40.697466
S447,447,446,-73.956848,40.68137967
S448,448,447,-73.965838,40.683263
S449,449,448,-73.903075,40.704412
S450,450,449,-73.94425,40.79502
S451,451,450,-73.955589,40.779492
S452,452,451,-73.986885,40.69974267
S453,453,452,-73.990531,40.699337
S454,454,453,-73.973946,40.686113
S455,455,454,-73.9505892,40.6678836
S456,456,455,-73.878751,40.886037
S457,457,456,-73.994659,40.72591467
S458,458,457,-73.947478,40.7906
S459,459,458,-73.872106,40.675377
